CompanyID,Target,YearFounded,Age,N_Deal,TotalRaised,UndisclosedAmountShare,Percent_Females,Is_Eco,Is_Eng,Is_NS,Is_Hum,Is_SS,Is_Med,Is_Law,Is_IT,WorkExp_Idx_Mean,Total_Founders,Is_Debt,Is_SpinOff,Is_CrowdFunding,MeanMedianRoundAmount_cum,Is_Accelerator,has_Corporate,has_VentureCapital,has_PublicInvestor,has_Angel_Lead,has_Corporate_Lead,has_VentureCapital_Lead,has_Accelerator_Lead,has_PrivateEquity_Lead,has_PublicInvestor_Lead,HQCountry,PrimaryIndustrySector,SimilarityScoreMean,N_Competitors,Same_Country,Highest_Degree_CEO,Gender_CEO_Female,MeanTotalInvestments_cum,WorkExperienceIndex_CEO,Is_Angel,Total_People,Is_Grant,has_PrivateEquity,TotalInvestors,Highest_Degree_Mean,Avg_Earliest_Year,HasTop50Institute
36892,0,2012,11,1,0.0,0.08333333333333333,0.0,1,0,0,0,0,0,0,0,-0.24486670791307927,2,0,0,0,0.11,1,0,0,0,0,0,0,0,0,0,Netherlands,Consumer Products and Services (B2C),91.797,0,0,4,0,266.0,-0.04728404172985682,0,2,0,0,1,4.0,1990.0,0
36894,1,2016,9,6,11.811430730000001,0.3,0.0,0,0,1,0,0,0,0,1,-0.4424493740963017,3,0,0,0,31.935200666666667,1,1,1,1,0,0,0,1,0,0,Netherlands,Business Products and Services (B2B),93.108,0,0,5,0,504.0,-0.44244937409630164,0,4,1,1,9,4.7666666666666675,,0
36898,1,2017,6,10,1.278463,0.7619047619047619,50.0,1,1,0,0,0,0,0,0,-0.4424493740963017,2,0,0,0,0.33954663874999996,1,0,1,0,0,0,0,0,0,0,Netherlands,Business Products and Services (B2B),90.453,4,0,4,0,272.125,-0.44244937409630164,1,2,0,0,8,4.0,2014.0,0
36900,0,2017,6,3,0.48623135,0.14285714285714285,0.0,0,0,0,0,0,0,0,0,-0.4424493740963017,2,0,0,0,0.25666666666666665,1,0,1,0,0,0,0,0,0,0,Netherlands,Information Technology,92.256,0,0,,0,110.33333333333333,-0.44244937409630164,0,2,0,0,3,,,0
36907,1,2017,7,5,1.45797786,0.25,20.0,0,1,1,1,0,0,0,0,-0.14411941863066816,3,0,0,0,0.879605775,1,1,1,0,0,0,0,1,0,0,Italy,Energy,95.459,4,0,,0,230.33333333333334,-0.44244937409630164,0,5,1,0,6,4.708333333333334,2013.0,1
36909,1,2017,7,4,1.17562097,0.25,0.0,1,0,0,0,1,0,0,0,-0.4424493740963017,3,0,0,0,1.0267638366666667,1,0,1,0,0,0,0,1,0,0,Netherlands,Energy,93.352,0,0,4,0,282.1666666666667,-0.44244937409630164,1,4,0,0,6,3.333333333333333,2004.0,1
36910,0,2016,8,1,0.0,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,-0.4424493740963017,1,0,0,0,1.435,0,0,0,0,0,0,0,0,0,0,Russia,Consumer Products and Services (B2C),84.952,0,0,,0,9.0,-0.44244937409630164,0,2,0,1,1,,,0
36914,1,2016,3,1,0.44594327,0.0,25.0,0,0,0,0,0,1,0,1,0.05232571262703354,4,0,0,0,2.23,0,0,1,0,0,0,0,0,0,0,Sweden,Healthcare,94.33,0,0,,0,39.0,-0.44244937409630164,0,4,0,0,1,5.0,,0
36924,1,2012,11,2,0.0,0.16666666666666666,0.0,0,1,0,1,0,0,0,0,-0.05420476686534745,2,0,0,0,22.7702383,1,0,1,0,0,0,0,0,0,0,Netherlands,Information Technology,92.829,0,0,,0,28.5,-0.08287634242666571,0,3,0,0,2,3.0,2006.0,0
36928,0,2016,2,1,0.0,0.5,0.0,0,0,0,0,0,0,0,0,-0.44244937409630164,0,0,0,0,0.47,0,0,0,0,0,0,0,0,1,0,France,Information Technology,90.40700000000001,0,0,,0,17.0,-0.44244937409630164,0,1,0,1,1,,,0
36929,1,2016,6,5,1.70009199,0.5,25.0,1,0,0,1,0,0,0,0,0.8191034214400793,4,0,0,0,2.5808683239999994,1,0,1,0,0,0,0,0,0,0,Ireland,Business Products and Services (B2B),91.28099999999999,0,0,3,1,141.6,0.2475951379907733,0,4,1,1,5,3.5,,1
36933,0,2011,12,1,0.0,0.07692307692307693,0.0,0,0,0,0,0,0,0,1,-0.44244937409630164,1,0,0,0,8.04,0,0,1,0,0,0,0,0,0,0,Italy,Consumer Products and Services (B2C),86.894,0,0,,0,65.0,-0.44244937409630164,0,1,0,0,1,3.0,2004.3846153846155,0
36936,1,2016,7,9,39.52211944,0.0,50.0,1,0,0,0,0,0,0,0,-0.2465871540019445,5,0,0,0,7.047757951363637,0,1,1,0,0,1,1,0,0,0,Italy,Consumer Products and Services (B2C),99.68199999999999,10,0,4,0,34.45454545454545,0.21200283729396438,1,6,0,0,11,3.5416666666666665,1999.4166666666667,0
36937,0,2009,15,2,0.48042598000000003,0.0,0.0,0,0,0,0,0,0,0,0,-0.31155893181824834,1,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,United Kingdom,Consumer Products and Services (B2C),89.13,0,0,,0,61.0,-0.44244937409630164,1,2,0,0,1,,,0
36938,0,2017,7,1,0.0,0.125,25.0,1,1,0,0,0,0,0,0,0.6257075227765149,0,0,0,0,415.08,0,0,0,0,0,0,0,0,0,0,United Kingdom,Business Products and Services (B2B),100.0,0,0,,0,22.0,,0,4,0,0,1,3.6458333333333335,2011.0,1
36947,1,2013,12,9,16.393676149999997,0.0,0.0,1,0,0,1,1,0,0,0,0.721771359384872,1,0,0,0,3.1981736785714285,0,0,1,0,0,0,0,0,1,0,United Kingdom,Business Products and Services (B2B),99.765,10,4,3,0,144.14285714285714,-0.04728404172985682,1,7,0,1,7,3.0,1988.9166666666665,1
36949,0,2011,13,1,0.32824998,0.0,0.0,0,0,0,0,0,0,0,0,-0.3154777713435308,1,0,0,0,0.32619588,0,0,0,0,0,0,0,0,0,0,United Kingdom,Consumer Products and Services (B2C),95.351,0,0,,0,10.0,-0.08287634242666571,1,2,0,0,1,,,0
36956,0,2015,3,6,0.75050165,0.20833333333333331,33.33333333333333,0,0,0,1,1,0,0,0,-0.44244937409630164,3,0,0,0,0.24774154000000004,1,0,0,1,0,0,0,0,0,0,Italy,Information Technology,88.803,0,0,5,1,571.2777777777777,-0.44244937409630164,1,3,1,0,6,5.0,,0
