CompanyID,Target,YearFounded,Age,N_Deal,TotalRaised_Est,Percent_Females,Is_Eco,Is_Eng,Is_NS,Is_Hum,Is_SS,Is_Med,Is_Law,Is_IT,WorkExp_Idx_Mean,Total_Founders,Is_Debt,Is_SpinOff,Is_CrowdFunding,MeanMedianRoundAmount_cum,Is_Accelerator,has_Corporate,has_VentureCapital,has_PublicInvestor,has_Angel_Lead,has_Corporate_Lead,has_VentureCapital_Lead,has_Accelerator_Lead,has_PrivateEquity_Lead,has_PublicInvestor_Lead,SimilarityScoreMean,N_Competitors,Same_Country,Gender_CEO_Female,MeanTotalInvestments_cum,WorkExperienceIndex_CEO,Is_Angel,Total_People,Is_Grant,has_PrivateEquity,TotalInvestors,Highest_Degree_Mean,Avg_Earliest_Year,HasTop50Institute,HQCountryFreq,PrimaryIndustrySectorFreq
31881,0,2013,1,1,0.0436543,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,88.45,0,0,0,,-0.403355023220701,1,2,0,0,0,3.0,1977.0,0,2141,7819
31882,1,2016,0,1,0.0217910367074976,0.0,1,1,0,0,0,0,0,0,-0.036218281336486,3,0,0,0,0.001061,0,1,0,0,0,0,0,0,0,0,97.79333333333334,3,1,0,1.0,-0.0399595174150297,0,3,1,0,1,4.0,2009.0,0,2141,13689
31893,0,2015,0,1,0.0,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,2,0,0,0,0.71,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,18.0,,0,2,0,0,1,,,0,6606,7819
31894,0,2015,2,1,0.0,0.0,0,1,0,0,0,0,0,0,-0.403355023220701,1,0,0,0,0.00352586,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,157.0,-0.403355023220701,0,1,0,0,1,4.0,,0,1860,7819
31900,1,2013,0,1,0.0,33.3333333333333,0,0,0,0,0,0,0,0,-0.282223187952144,2,0,0,0,0.01,1,0,0,0,0,0,0,0,0,0,92.25,0,0,0,37.0,-0.403355023220701,0,3,0,0,1,,,0,4763,7819
31904,1,2015,1,2,0.392915027894936,0.0,0,1,1,0,1,0,0,0,0.225916508265112,3,0,0,0,0.11,1,0,0,1,0,0,0,0,0,0,93.26666666666667,0,0,0,445.0,-0.403355023220701,0,4,1,0,2,4.5,,0,3209,13689
31908,0,2016,1,1,0.0141472,0.0,1,0,0,0,0,0,0,0,-0.157350116605043,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,90.27,0,0,0,,-0.0399595174150297,0,3,0,0,0,4.0,2016.0,0,1082,7819
31909,0,2013,1,2,0.941527194515547,0.0,0,1,1,0,0,0,0,0,0.686317669287543,1,0,0,0,4.22,0,1,1,0,0,0,0,0,0,0,93.86,0,0,0,99.5,1.41259485599012,0,2,0,0,2,5.0,1990.5,0,1580,5617
31915,0,2014,0,1,0.334822278666372,0.0,0,0,1,0,0,0,0,0,-0.403355023220701,1,0,0,0,0.27258838,0,0,0,1,0,0,0,0,0,0,85.5,0,0,0,9.0,-0.403355023220701,0,3,1,0,1,3.0,,0,1580,3652
31918,1,2016,1,1,0.921527692268878,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,1,0,0,0,3.44,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,197.0,-0.403355023220701,0,1,0,0,1,,,0,1580,7819
31924,0,2010,0,1,0.391457352543168,0.0,0,0,1,0,0,0,0,0,-0.403355023220701,1,0,0,0,0.78,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,42.5,-0.403355023220701,0,1,0,0,2,5.0,1996.0,0,1580,7819
31926,1,2014,1,1,0.0,40.0,1,0,0,0,0,0,0,1,-0.12036778168935,2,0,0,0,1.51,1,0,0,0,0,0,0,0,0,0,91.88999999999999,2,0,0,116.0,0.289814070449518,0,5,0,0,1,3.0,1988.0,0,6606,7819
31928,0,2017,0,3,0.454273906667261,0.0,0,0,1,0,0,0,0,0,-0.221657270317865,2,0,0,0,0.204203296666667,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,58.8333333333333,-0.0399595174150297,0,2,0,0,4,5.0,,0,1580,3652
31931,0,2017,0,1,0.34990833,20.0,1,0,0,0,1,0,0,0,0.131462606216346,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.794703684270588,1,5,0,0,0,3.0,2010.5,1,6904,7819
31932,0,2016,0,1,0.734510306316443,0.0,0,0,0,0,0,1,0,0,-0.403355023220701,3,0,0,0,0.62,0,0,1,0,0,0,0,0,0,0,89.53666666666668,0,0,0,34.0,-0.403355023220701,0,3,0,0,1,5.0,2006.0,0,1580,3652
31942,1,2017,0,2,0.04360116,42.8571428571429,0,0,1,0,0,0,0,0,-0.242803931488714,2,0,0,0,1.477756955,1,0,0,1,0,0,0,0,0,0,91.395,0,0,1,57.5,-0.0287358091793985,0,7,0,0,2,5.0,1983.0,0,6904,3652
31948,0,2015,0,1,0.0,50.0,0,0,0,0,0,0,0,0,-0.403355023220701,2,0,0,0,0.05,1,0,0,0,0,0,0,0,0,0,94.08500000000001,0,0,0,1779.0,-0.403355023220701,0,2,0,0,1,,,0,6606,13689
31949,1,2014,1,3,4.07615274,8.33333333333333,1,0,1,0,0,0,0,0,-0.407300566422514,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,-0.403355023220701,1,12,0,0,0,3.0,1974.0,0,6904,7819
31953,0,2016,1,1,0.0,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,0,0,0,0,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,7937.0,-0.403355023220701,0,2,0,0,1,,,0,2141,13689
31956,1,2013,0,1,4.14049338,0.0,0,0,0,0,0,0,0,0,-0.221657270317865,1,0,0,0,3.46074166,0,0,1,0,0,0,0,0,0,0,95.21000000000001,1,0,0,14.0,-0.403355023220701,0,2,0,0,1,,,0,3209,13689
31957,1,2016,1,1,0.476618,0.0,0,0,1,1,0,0,0,1,-0.465007399810667,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,-0.403355023220701,0,4,0,0,0,3.66666666666667,2006.66666666667,1,6904,7819
31959,0,2017,0,1,0.1844329,28.5714285714286,1,1,1,1,0,1,0,0,0.469803382910431,2,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,242.0,-0.145074915759496,1,7,0,0,1,4.6,1999.0,1,6904,3652
31967,0,2016,0,1,0.922015439713014,0.0,1,0,0,0,0,0,0,0,0.168316232348,3,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,98.59,2,0,0,22.0,-0.403355023220701,0,4,0,1,1,4.0,2007.0,0,6606,13689
31970,1,2012,2,1,0.85497313,0.0,0,0,0,0,0,0,0,0,-0.0287358091793985,0,0,0,0,1.19640947,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,9.0,-0.0287358091793985,0,1,1,0,1,,,0,2141,3652
31977,1,2017,0,1,1.19639334385828,0.0,1,0,0,0,0,0,0,0,0.145761302297015,3,0,0,0,1.67,0,0,1,0,0,0,0,0,0,0,93.72999999999999,0,0,0,28.0,0.278590362213887,0,5,0,0,1,2.75,1994.0,0,6606,13689
31978,1,2016,0,1,1.26584223002309,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,2,0,0,0,1.67,0,0,1,0,0,0,0,0,0,0,91.315,0,0,0,37.5,-0.403355023220701,0,3,0,1,2,,,0,1860,5617
31979,0,2016,1,2,0.14942667,0.0,0,0,0,1,0,0,0,0,-0.403355023220701,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,96.7,0,0,0,,-0.403355023220701,1,2,0,0,0,4.0,,0,2141,7819
31981,0,2015,0,1,0.0,0.0,0,0,0,0,0,0,0,0,-0.221657270317865,2,0,0,0,0.02853102,1,0,0,0,0,0,0,0,0,0,90.16000000000001,0,0,0,47.0,-0.403355023220701,0,2,0,0,1,,,0,2141,7819
31985,0,2013,1,1,0.1084181,0.0,0,1,0,0,0,0,0,0,-0.403355023220701,3,0,0,0,0.08,1,0,0,0,0,0,0,0,0,0,94.67,0,0,0,106.0,-0.403355023220701,0,5,0,0,1,4.0,1989.0,0,6606,13689
32003,0,2017,0,1,0.0,25.0,0,0,0,0,0,0,0,0,-0.403355023220701,4,0,0,0,1.03,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,519.0,-0.403355023220701,0,4,0,0,1,,,0,3209,13689
32004,0,2016,0,1,0.0,16.6666666666667,0,0,0,0,0,0,0,0,-0.360685120660222,3,0,0,0,0.0367686,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,94.0,-0.0287358091793985,0,6,0,0,1,,,0,1083,13689
32007,1,2016,0,1,0.0,12.5,1,1,0,0,0,1,0,0,-0.130033417540095,4,0,0,0,0.03,1,0,0,0,0,0,0,0,0,0,98.60499999999999,2,2,0,347.0,-0.403355023220701,0,8,0,0,1,4.2,1991.0,1,1083,3652
32010,0,2010,0,1,0.11328492,0.0,0,0,0,0,0,1,0,0,-0.403355023220701,1,0,0,0,0.03562142,1,0,0,0,0,0,0,0,0,0,91.79,0,0,0,136.0,-0.403355023220701,0,2,0,0,1,3.0,1999.0,0,6606,3652
32015,1,2015,1,1,0.96485377642947,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,0,0,0,0,1.08738123,0,0,1,0,0,0,0,0,0,0,92.245,0,0,0,51.0,-0.403355023220701,0,1,0,0,1,,,0,2141,7819
32019,1,2016,0,1,0.0,40.0,1,0,1,0,0,0,0,0,-0.0623774098268303,3,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,90.035,0,0,1,3408.0,0.289814070449518,0,5,0,0,1,4.0,2006.0,0,2141,13689
32020,1,2012,2,1,0.185738816120481,50.0,0,1,0,0,0,0,0,0,0.18895257910675,1,0,0,0,0.11106455,1,0,0,0,0,0,0,0,0,0,95.34,0,0,1,1085.0,-0.0399595174150297,0,2,1,0,1,3.0,2006.0,0,2141,13689
32021,0,2016,0,1,0.0,20.0,1,0,0,0,0,0,0,0,-0.328431180412441,3,0,0,0,0.44,1,0,0,0,0,0,0,0,0,0,92.78,0,0,0,77.0,-0.403355023220701,0,5,0,0,1,3.5,2010.0,0,2141,7819
32023,1,2013,2,1,0.1099939,0.0,1,0,0,0,0,0,0,0,-0.172298658663961,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,87.84666666666665,0,0,0,,-0.403355023220701,1,3,0,0,0,4.0,,0,6606,13689
32029,0,2015,2,1,0.23660827,33.3333333333333,1,1,0,0,0,0,0,1,0.0774611165294317,3,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,8.0,-0.403355023220701,0,3,0,0,1,4.0,2002.0,0,2141,7819
32034,0,2015,0,1,0.07547023,0.0,1,1,1,1,1,1,0,0,-0.225570460675829,5,0,0,0,0.07547023,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,3.0,-0.649964529580567,0,11,0,0,1,4.33333333333333,1996.0,0,1580,3652
32039,0,2012,0,1,0.0,0.0,1,0,0,0,0,0,0,0,1.21416852448865,1,0,0,0,0.14,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,9.0,,0,1,0,0,1,3.0,,0,6606,5617
32041,1,2016,0,1,0.0,0.0,0,0,0,0,0,0,0,0,-0.257996820898433,3,0,0,0,1.03,1,0,0,0,0,0,0,0,0,0,88.23400000000001,0,0,0,519.0,-0.403355023220701,0,5,0,0,1,,,0,3209,7819
32048,1,2017,0,1,0.0,0.0,1,0,1,0,0,0,0,0,-0.229131541347325,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,96.77333333333333,3,1,0,,-0.0399595174150297,0,6,0,0,0,3.5,,0,3209,5617
