CompanyID,Target,YearFounded,Age,N_Deal,TotalRaised_Est,Percent_Females,Is_Eco,Is_Eng,Is_NS,Is_Hum,Is_SS,Is_Med,Is_Law,Is_IT,WorkExp_Idx_Mean,Total_Founders,Is_Debt,Is_SpinOff,Is_CrowdFunding,MeanMedianRoundAmount_cum,Is_Accelerator,has_Corporate,has_VentureCapital,has_PublicInvestor,has_Angel_Lead,has_Corporate_Lead,has_VentureCapital_Lead,has_Accelerator_Lead,has_PrivateEquity_Lead,has_PublicInvestor_Lead,SimilarityScoreMean,N_Competitors,Same_Country,Gender_CEO_Female,MeanTotalInvestments_cum,WorkExperienceIndex_CEO,Is_Angel,Total_People,Is_Grant,has_PrivateEquity,TotalInvestors,Highest_Degree_Mean,Avg_Earliest_Year,HasTop50Institute,HQCountryFreq,PrimaryIndustrySectorFreq
115458,1,2014,10,3,30.22180458,33.3333333333333,1,1,1,0,1,0,0,0,0.42515680008655576,4,0,0,0,4.110322456875,1,0,1,0,0,0,1,1,0,0,93.28,0,0,0,236.875,-0.403355023220701,1,9,0,0,16,3.2452380952380935,2005.626623376624,1,7928,12898
115459,1,2014,10,5,3.2441889099865597,50.0,1,0,0,0,0,0,0,0,0.656448640811625,0,0,0,0,1.05238544407407,1,0,1,0,0,0,1,1,0,0,99.295,2,0,1,139.990740740741,0.709278910667575,1,2,1,0,15,3.889285714285713,1999.5281385281355,1,7928,5062
115461,0,2014,4,3,0.11366577,80.0,1,0,0,1,0,0,0,0,-0.403355023220701,5,0,0,1,0.105,1,0,0,0,0,0,0,1,0,0,79.47,0,0,1,187.5,-0.403355023220701,0,5,0,0,2,3.8,2010.0,0,7928,7023
115462,1,2011,9,4,25.48350384204391,10.0,1,0,0,0,0,0,0,1,0.04384285005782211,6,0,0,0,8.696996586,0,1,1,0,0,0,1,0,0,0,98.47,1,1,0,82.2,0.233744736037131,0,10,0,0,5,3.175,2003.6875,0,3073,7023
115463,0,2014,10,1,0.0,0.0,1,1,0,0,0,0,0,0,0.239315995069469,2,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,94.4,0,0,0,228.0,-0.403355023220701,0,3,0,0,1,3.333333333333329,2003.3333333333298,0,7928,12898
115464,1,2012,12,2,0.0,0.0,1,0,0,1,0,0,0,0,-0.40335502322070094,4,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,91.41,0,0,0,228.0,-0.403355023220701,0,4,0,0,1,3.0,2001.0,0,7928,7023
115465,1,2014,6,3,0.0,0.0,0,0,0,0,0,0,1,1,-0.40335502322070094,3,0,0,0,0.0759736066666667,1,0,0,0,0,0,0,1,0,0,94.91,0,0,0,88.0,-0.403355023220701,0,3,0,0,3,3.5,2008.0,0,7928,12898
115466,1,2012,6,2,2.94491433559175,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,2,0,0,0,2.61,1,0,1,0,0,0,0,0,0,0,99.62,2,0,0,132.0,-0.403355023220701,0,2,0,0,2,,,0,7928,12898
115467,0,2012,12,2,0.09549775,0.0,0,0,0,0,0,1,0,0,-0.403355023220701,1,0,0,0,0.09,1,0,0,0,0,0,0,0,0,0,94.185,0,0,0,167.0,-0.403355023220701,0,1,1,0,2,5.0,2007.0,0,7928,542
115468,0,2013,2,4,0.05,0.0,1,1,1,0,0,0,0,0,-0.403355023220701,2,0,0,1,0.090625,1,0,0,0,1,0,0,1,0,0,96.275,0,0,0,74.625,-0.403355023220701,1,2,0,0,4,3.5,2003.0,0,7928,12898
